name;aria;bal;pH;gumus;azot;phosfor;kaliy;1;2;3;4;5;6;7
61;44;58;6,7;3,6;13;60;116;14;0,4;0,58;0,11;0,59;0,145;0,02-0,056
62;143;58;6,7;3,6;13;60;116;14;0,4;0,58;0,11;0,59;0,145;0,02-0,056
63;67;66;6,9;4,1;14;87;130;19;0,4;0,58;0,17;0,59;0,145;0,02-0,056
64;74;61;6,7;3,9;17;61;113;14;0,4;0,58;0,13;0,59;0,145;0,02-0,056
65;30;61;6,7;3,9;17;61;113;14;0,4;0,58;0,13;0,59;0,145;0,02-0,056
66;35;61;6,7;3,9;17;61;113;14;0,4;0,58;0,13;0,59;0,145;0,02-0,056
67;36;61;6,7;3,9;17;61;113;14;0,4;0,58;0,13;0,59;0,145;0,02-0,056
68;36;69;6,7;4;20;88;128;20;0,4;0,58;0,17;0,59;0,145;0,02-0,056
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Групування грунтів за вмістом в них рухомого фосфору, калію,азоту і гумусу   ;;;;;;;;;;;;;
;Клас;"Ступінь забезпеченості грунтів";;;;"Фосфор, мг/кг";;"Калій, мг/кг";;"Азот, мг/кг";;Гумус,%;;
;1;Дуже низький;;;;0-20;;0-20;;;;0-20;;
;2;Низький;;;;21-50;;21-40;;0-10;;2,1-3,0;;
;3;Середній;;;;51-100;;41-80;;11 30;;3,1-4,0;;
;4;Підвищений;;;;101-150;;81-120;;більше 30;;4,1-5,0;;
;5;Високий;;;;151-200;;121-180;;;;5,1-6,0;;
;6;Дуже високий;;;;більше 200;;більше 180;;;;більше 6,0;;
;Клас;"Ступінь забезпеченості грунтів";;;;"Фосфор, мг/кг";;"Калій, мг/кг";;"Азот, мг/кг";;Гумус,%;;
;1;Дуже низький;;;;га;%;га;%;га;%;га;%;
;2;Низький;;;;645;11,9;170;3,1;14;0,3;0;0;
;3;Середній;;;;4276,4;78,6;621;11,4;5428,4;99,7;3392;62,3;
;4;Підвищений;;;;169;3,1;2718;49,9;0;0;2050,4;37,7;
;5;Високий;;;;338;6,2;1933,4;35,5;0;0;0;0;
;6;Дуже високий;;;;14;0,3;0;0;0;0;0;0;
;Всього;;;;;5442,4;100;5442,4;100;5442,4;100;5442,4;100;
